account_id,customer_id,tenure_months,num_referrals,has_internet_service,internet_type,has_unlimited_data,has_phone_service,has_multiple_lines,has_premium_tech_support,has_online_security,has_online_backup,has_device_protection,contract_type,paperless_billing,payment_method,account_id,avg_long_distance_fee_monthly,total_long_distance_fee,avg_gb_download_monthly,stream_tv,stream_movie,stream_music,total_monthly_fee,total_charges_quarter,total_refunds,customer_id,customer_status,churn_label,churn_category,churn_reason,customer_id,gender,age,senior_citizen,married,num_dependents,zip_code,area_id,zip_code,city_name,latitude,longitude,population
AAJU-HMJLK,0334-ZFJSR,55,0,Yes,Cable,No,Yes,Yes,Yes,Yes,Yes,No,"One Year",Yes,"Credit Card",AAJU-HMJLK,35.38,1945.9,13,No,No,No,66.05,3462.1,44.53,0334-ZFJSR,Stayed,No,NULL,NULL,0334-ZFJSR,Female,41,No,Yes,0,92123,371,92123,"San Diego",32.8088,-117.135,25232
AAMB-TJYWC,4006-HKYHO,63,0,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Yes,"Two Year",Yes,"Bank Withdrawal",AAMB-TJYWC,29.58,1863.54,47,Yes,Yes,Yes,86.7,5309.5,0,4006-HKYHO,Stayed,No,NULL,NULL,4006-HKYHO,Male,24,No,No,0,93311,696,93311,Bakersfield,35.1621,-119.194,20440
AANL-MWPZF,3258-SYSWS,72,0,Yes,"Fiber Optic",Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Two Year",No,"Bank Withdrawal",AANL-MWPZF,24.67,1776.24,26,Yes,Yes,No,113.8,7845.8,0,3258-SYSWS,Stayed,No,NULL,NULL,3258-SYSWS,Male,75,Yes,No,0,92040,329,92040,Lakeside,32.9099,-116.907,42277
ABBQ-EXMMW,1820-DJFPH,72,4,No,None,No,Yes,Yes,No,No,No,No,"Two Year",Yes,"Bank Withdrawal",ABBQ-EXMMW,48.29,3476.88,0,No,No,No,24.05,1709.15,0,1820-DJFPH,Stayed,No,NULL,NULL,1820-DJFPH,Female,59,No,Yes,3,95555,1310,95555,Orick,41.3364,-124.044,494
ABHW-EXJZF,0582-AVCLN,38,0,No,None,No,Yes,No,No,No,No,No,"Two Year",No,"Credit Card",ABHW-EXJZF,43.19,1641.22,0,No,No,No,20.3,743.05,0,0582-AVCLN,Stayed,No,NULL,NULL,0582-AVCLN,Female,43,No,No,0,93304,690,93304,Bakersfield,35.3398,-119.024,44588
ABJG-QLGHV,2371-JUNGC,11,0,No,None,No,Yes,No,No,No,No,No,Month-to-Month,No,"Credit Card",ABJG-QLGHV,28.62,314.82,0,No,No,No,20.25,208,0,2371-JUNGC,Stayed,No,NULL,NULL,2371-JUNGC,Male,46,No,No,0,95014,1067,95014,Cupertino,37.3066,-122.081,54431
ABZW-YNPHD,2700-LUEVA,1,0,No,None,No,Yes,No,No,No,No,No,Month-to-Month,No,"Credit Card",ABZW-YNPHD,36.28,36.28,0,No,No,No,20.75,20.75,0,2700-LUEVA,Joined,No,NULL,NULL,2700-LUEVA,Male,49,No,No,0,94618,1006,94618,Oakland,37.8455,-122.235,15438
ACCA-SYCSE,3589-PPVKW,9,0,Yes,DSL,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,"Credit Card",ACCA-SYCSE,38.65,347.85,26,No,No,No,44.4,348.15,0,3589-PPVKW,Stayed,No,NULL,NULL,3589-PPVKW,Male,19,No,No,0,91766,271,91766,Pomona,34.0423,-117.756,69974
ACDG-SFELI,1600-DILPE,12,0,Yes,DSL,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,"Bank Withdrawal",ACDG-SFELI,36.11,433.32,13,No,No,No,45,524.35,0,1600-DILPE,Stayed,No,NULL,NULL,1600-DILPE,Female,47,No,No,0,95974,1505,95974,Richvale,39.4958,-121.747,74
ACIS-YWVPE,4312-GVYNH,70,8,Yes,Cable,Yes,No,No,Yes,Yes,No,Yes,"Two Year",Yes,"Bank Withdrawal",ACIS-YWVPE,0,0,26,No,Yes,Yes,49.85,3370.2,0,4312-GVYNH,Stayed,No,NULL,NULL,4312-GVYNH,Female,46,No,Yes,0,92683,557,92683,Westminster,33.7526,-117.994,88230
ACOG-YBIQX,0281-CNTZX,63,2,No,None,No,Yes,No,No,No,No,No,"Two Year",Yes,"Bank Withdrawal",ACOG-YBIQX,38.36,2416.68,0,No,No,No,19.95,1234.8,0,0281-CNTZX,Stayed,No,NULL,NULL,0281-CNTZX,Male,56,No,Yes,0,94060,878,94060,Pescadero,37.2257,-122.298,2055
ACRR-TDNAI,3454-JFUBC,68,0,No,None,No,Yes,No,No,No,No,No,"Two Year",Yes,"Credit Card",ACRR-TDNAI,10.48,712.64,0,No,No,No,20,1396,0,3454-JFUBC,Stayed,No,NULL,NULL,3454-JFUBC,Male,66,Yes,No,0,92059,333,92059,Pala,33.3843,-117.073,1831
ACSF-MFCZF,2446-BEGGB,6,0,Yes,"Fiber Optic",Yes,Yes,Yes,No,No,Yes,No,Month-to-Month,Yes,"Bank Withdrawal",ACSF-MFCZF,47.35,284.1,29,Yes,Yes,Yes,98.25,560.6,0,2446-BEGGB,Churned,Yes,Attitude,"Attitude of support person",2446-BEGGB,Female,79,Yes,No,0,90712,134,90712,Lakewood,33.8405,-118.148,30173
ACXJ-PKPUC,2792-LSHWX,1,0,Yes,"Fiber Optic",Yes,Yes,No,Yes,Yes,Yes,No,Month-to-Month,Yes,"Credit Card",ACXJ-PKPUC,43.06,43.06,9,No,No,No,83.4,83.4,0,2792-LSHWX,Joined,No,NULL,NULL,2792-LSHWX,Female,49,No,No,0,94555,961,94555,Fremont,37.5555,-122.08,33883
ADCJ-UZYUN,0928-XUTSN,13,0,Yes,"Fiber Optic",Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,"Bank Withdrawal",ADCJ-UZYUN,44.99,584.87,27,No,Yes,Yes,80.5,1011.8,24.99,0928-XUTSN,Stayed,No,NULL,NULL,0928-XUTSN,Female,22,No,No,0,92227,389,92227,Brawley,33.0393,-115.192,23394
ADCZ-RQOBI,2984-RGEYA,69,9,No,None,No,Yes,No,No,No,No,No,"Two Year",No,"Bank Withdrawal",ADCZ-RQOBI,5.27,363.63,0,No,No,No,19.75,1375.4,0,2984-RGEYA,Stayed,No,NULL,NULL,2984-RGEYA,Female,38,No,Yes,0,91306,192,91306,Winnetka,34.2095,-118.578,43857
ADHD-XTYYU,0568-ONFPC,5,1,No,None,No,Yes,Yes,No,No,No,No,Month-to-Month,Yes,"Bank Withdrawal",ADHD-XTYYU,40.05,200.25,0,No,No,No,25.9,135,0,0568-ONFPC,Churned,NULL,Other,Moved,0568-ONFPC,Male,34,No,Yes,1,94112,899,94112,"San Francisco",37.7205,-122.443,73117
